Track	Conf	ACL Anthology ID
Computational Social Science and Social Media	WNUT 2020	2020.wnut-1
	WNUT 2019	D19-55
	WNUT 2018	W18-61
	WNUT 2017	W17-44
Dialogue, Discourse, and Interactive Systems	SIGDIAL 2020	2020.sigdial-1
	SIGDIAL 2019	W19-59
	SIGDIAL 2018	W18-50
	SIGDIAL 2017	W17-55
Generation	INLG 2020	2020.inlg-1
	INLG 2019	W19-86
	INLG 2018	W18-65
	INLG 2017	W17-35
Information Extraction, Retrieval, and Text Mining	EVENTS 2015	W15-08
	CoNLL 2002	W02-20
	NEWS 2018	W18-24
	FEVER 2020	2020.fever-1
Interpretability and Analysis of Models for NLP	BlackBoxNLP 2020	2020.blackboxnlp-1
	BlackBoxNLP 2019	W19-48
Language Grounding to Vision, Robotics and Beyond	ALVR 2020	2020.alvr-1
	VL 2016	W16-32
	RoboNLP 2017	W17-28
	VL 2014	W14-54
Linguistic Theories, Cognitive Modeling and Psycholinguistics	CLPsych 2019	W19-30
	CLPsych 2018	W18-06
	CMCL 2020	2020.cmcl-1
	CMCL 2019	W19-29
Machine Learning for NLP	Repl4NLP 2020	2020.repl4nlp-1
	Repl4NLP 2019	W19-43
	SPNLP 2016	W16-59
	SPNLP 2020	2020.spnlp-1.0
Machine Translation and Multilinguality	WMT 2020	2020.wmt-1
	WMT 2019	W19-52
	WMT 2018	W18-63
	WMT 2017	W17-47
Phonology, Morphology and Word Segmentation	SIGMORPHON 2020	2020.sigmorphon-1
	SIGMORPHON 2019	W19-42
	SIGMORPHON 2018	W18-58
	SIGMORPHON 2016	W16-20
Question Answering	MRQA 2019	D19-58
	MRQA 2018	W18-26
Resources and Evaluation	LREC 2020	2020.lrec-1
Semantics	*SEM 2020	2020.starsem-1
	*SEM 2019	S19-1
	*SEM 2018	S18-2
	*SEM 2017	S17-1
Sentiment Analysis, Stylistic Analysis, and Argument Mining	ArgMining 2020	2020.argmining-1
	ArgMining 2019	W19-45
	StyleVar 2017	W17-49
	StyleVar 2018	W18-16
	WASSA 2018	W18-62
	WASSA 2017	W17-52
Summarization	Summarization 2019	D19-54
	Summarization 2017	W17-45
Syntax: Tagging, Chunking and Parsing	IWPT 2020	2020.iwpt-1
	TLT 2019	W19-78
	IWPT 2015	W15-22
	IWPT 2017	W17-63
	CoNLL Shared Task 2018	K18-2
