	
aka	fat,twi
ara	aao,abh,abv,acm,acq,acw,acx,acy,adf,aeb,aec,afb,ajp,apc,apd,arb,arq,ars,ary,arz,auz,avl,ayh,ayl,ayn,ayp,pga,shu,ssh
aym	ayr,ayc
aze	azj,azb
bal	bgp,bcc,bgn
bik	bcl,bto,cts,bln,fbl,lbl,rbl,ubl,bhk
bnc	ebk,lbk,obk,rbk,vbk
bua	bxu,bxm,bxr
chm	mhr,mrj
cre	crm,crl,crk,crj,csw,cwd,nsk,moe,atj,crg,ojs,ojw
del	umu,unm
den	scs,xsl
din	dip,diw,dib,dks,dik
doi	dgo,xnr
est	ekk,vro,faa
fas	prs,pes
ful	fub,fui,fue,fuq,ffm,fuv,fuc,fuf,fuh
gba	bdt,gbp,gbq,gmm,gya,gso,mdo
gon	esg,gno,wsg,ggo
grb	gry,grv,gec,gbo,grj
grn	nhd,gui,gun,gug,gnw
hai	hdn,hax
hbs	bos,hrv,cnr,srp
hmn	hmc,hmm,cqd,hme,hmq,muq,hmj,mww,hnj,hrm,hmd,hml,huj,hmi,hmp,hea,sfm,hmy,hma,hms,hmg,hmh,hmw,hmz,mmr,blu
iku	ike,ikt
ipk	esi,esk
jrb	yhd,aju,yud,ajt,jye,kaa
kau	knc,kby,krt,bms,kbl
kln	eyo,sgc,enb,niq,oki,pko,spy,tec,tuy
kok	gom,knn
kom	koi,kpv
kon	kng,ldi,kwy
kpe	gkp,xpe
kur	ckb,kmr,sdh
lah	jat,xhe,hno,phr,skr,hnd,pnb,pmu
lav	ltg,lvs
luy	bxk,nle,ida,lkb,lko,lks,rag,lri,lrm,nyd,lsm,lts,lto,lwg
man	emk,mwk,mku,mnk,msc,mlq
mlg	xmv,bhr,msh,bmm,plt,skg,bzc,tkg,tdx,txy,xmw,bjq
mon	khk,mvf
msa	btj,mfb,bjn,bve,kxd,bvu,pse,coa,liw,dup,hji,ind,jak,jax,vkk,meo,kvr,mqg,kvb,lce,lcf,zlm,xmm,min,mui,zmi,max,orn,ors,mfa,pel,msi,zsm,tmw,vkt,urk,mly
mwr	dhd,rwr,mve,wry,mtr,swv
nep	dty,npi
nor	nob,nno
oji	ciw,ojb,ojc,ojg,ojs,ojw,otw,alq,pot,crg
ori	ory,spv
orm	gax,hae,orc,gaz,paa
pus	pst,pbu,pbt
que	qva,qxu,quy,qvc,qvl,qud,qxr,quk,qug,qxc,qxa,qwc,qwa,quz,qve,qub,qvh,qwh,qvw,qvi,qxw,quf,qvj,qvm,qvo,qul,qvn,qxn,qvz,qvp,qxh,qxp,qxl,qvs,qxt,qus,qws,quh,qxo,qup,quw,qur,qux,cqu
raj	bgq,gda,gju,hoj,mup,wbr
rom	rmn,rml,rmc,rmf,rmo,rmy,rmw,emx,rge,rmd,rme,rmg,rmi,rmr,rmu,rsb
sqi	aae,aat,aln,als
srd	sro,sdn,src,sdc
swa	swc,swh
syr	aii,cld
tmh	thv,taq,ttq,thz
uzb	uzn,uzs
yid	ydd,yih
zap	zaq,zpo,zoo,zaf,zad,zpv,zpc,zca,zps,zpp,zte,zpg,ztu,zai,zpa,zpl,ztl,ztp,zpy,zam,zaw,zpm,zac,zao,zpe,zpj,ztq,zar,ztm,zpx,zab,zpf,zpt,ztn,zpn,zpi,zpr,zas,zaa,zpd,zsr,zat,ztt,zpz,zts,zpk,zph,zax,ztg,zpu,zae,zty,zav,zpb,ztx,zpw,zpq,ztc,xzp
zha	zch,zhd,zeh,zgb,zgn,zln,zlj,zlq,zgm,zhn,zqe,zyg,zyb,zyn,zyj,zzj,ccx,ccy
zho	cdo,cjy,cmn,cnp,cpx,csp,czh,czo,gan,hak,hsn,lzh,mnp,nan,wuu,yue
zza	diq,kiu
